owner,repo,commit_hash,golden_commit_hash,combined_score,category,language
netty,netty,8271c8afccf7eb21bf6f994b5f3565f6d55bdee4,63a02fc04e6ce45aee38b0437ae0279880e5fe40,0.7931874999999999,structural,java
line,armeria,abe44775b0ed020dbd3a500f038dd76c951eb047,b04ccd24554f2fd223911096547bff5c6190e5c7,0.7897500000000001,api,java
apache,flink,9302b313fab8ffb4ee918d1b048585aa03cc4b35,ff3336266e5ea6c440916c1ae4ab9440e2ceb0bf,0.7860625,api,java
prometheus,prometheus,380cacd3a4dbe7b9454aa68fe23b2b2961e758c5,ec94df49d45baa8e680d81e732294eb04fff00de,0.7744375000000001,structural,go
netty,netty,f4fa5698c1ff391ea44a85f5136fa2c480e37f23,d2987071982a9f54c03a67cab780320cbf72763a,0.7460000000000001,api,java
mockito,mockito,2f7bf91d24a85ab28749e80effeb1252d8442ff9,9952454f4efc6a8734149b5e81e4f66c0349dcbb,0.7450000000000001,structural,java
gohugoio,hugo,0ada40591216572b0e4c6a8ab986b0aa4fb13c13,c71e1b106e6011d148cac899f83c4685dee33a22,0.7435,dependency,go
google,gvisor,fb9919881c7dc98eaf97cad2a70d187bd78f1566,8f4634997bd97810a85a70b71f000378d9db2e55,0.742625,structural,go
cilium,cilium,2db721189d74491a87a574572e55bef37c1d4dd4,927bd8c26904ff92e42c61cec6d00ea8ac062c05,0.7424375000000001,dependency,go
go-gitea,gitea,e03a91a48ef7fb716cc7c8bfb411ca8f332dcfe5,1bfb0a24d843e10d6d95c4319a84980485e584ed,0.74075,structural,go
ray-project,ray,588c573d418d78b730898dcd6314d61f0dd1389d,8414e413a27211dcb1efaef58f2094ca4d8f2e6c,0.7373750000000001,structural,java
apache,airflow,c14d2ea0e0392a7cfef7d06b4b29ac1e1f47827a,773f52feb9f0dcd29161dc7ec41d5ddc7f69f445,0.736875,structural,python
minio,minio,4cb6ebcfa27da497e22a626e61ac1829e12e596c,0cbebf0f573b975b66bf4f418b47a25c4c05d464,0.7342500000000001,structural,go
Automattic,wp-calypso,9334198bc5d28f5d95ec6b3e98070ee6538130aa,4265ac7786b2331f5c89656650f9b3bd7e3020a6,0.7328125,structural,javascript
tensorflow,tensorflow,56bbd227f69b9a5314b884f8ce128fa745d20c18,98a2d7d166c6ba19539e6d1fa57c47c4170ee77b,0.7323125,structural,python
pandas-dev,pandas,8b56ea30f185dfe9e05cbbd5e5be261388354ae8,f39a9ce580d25c8273cff717d13a7bc8601aa339,0.7322500000000001,api,python
golang,go,6105e8b4193401cf3344471924025c8a293c8e40,b0e238add5dc8ab80b4eade78ca047f074658dcd,0.7321250000000001,structural,go
gopasspw,gopass,8dd21746f4a344bdea17dfae6b8af76de7d3f372,b11c3688d85c14fafe2f2987874d51bab2c7ff1c,0.7288125,api,go
golang,go,dac0de3748cc816352da56f516506f80c33db4a5,b9693d7627089204e6c2448f543c3512d86dae70,0.7286250000000001,structural,go
ray-project,ray,f781622f8652c16bbd1845b9d05b121ae2cbafea,e4ceae19ef60f135a253fdd9f1270720bdbd96ec,0.7268125000000001,structural,python
