owner,repo,commit_hash,golden_commit_hash,combined_score,category,language
zellij-org,zellij,a2ae82259c0352a6193ce052c49afc798551bf94,6be8c495bcbdc2aa4fd4d6528b213ca8b6189b34,0.797375,dependency,rust
apache,arrow,e434536e82ef05430a31556c60d225e90f9382c5,df82d4cce52fab5c39b2667e587fa599506b5126,0.7826875000000001,dependency,c
prisma,prisma,8405dd85d1a5cc2cfc296a1a94b0eaf482f843bd,afa248a4ef9543b68da568d1b4cb6f6c5dac91d8,0.7740625000000001,structural,javascript
containerd,nerdctl,00ad410418853bd1cff3642f0b56171fa546c907,d3072780b5c3e3979747f5fc5042ab4f99a2ca2e,0.7637499999999999,structural,go
python,cpython,3ae67ba97e88d6f066a5b6f0c809f57fe4a1ecbe,a1aeec61c4321ba9a6966109343bd88dcf9cb26a,0.7538125000000001,structural,c
Qiskit,qiskit,f367f9a2dcc6b6c451a1c9e9e9e1e40868ea0527,d0b2d79dbf7d40fcf94f24cfd9eb0ee9757574b6,0.7531875,structural,rust
bevyengine,bevy,775fae5b626ff316f620bb4022eb1104d8f0b8d7,7b1c9f192e0bde85d8b563d5f03e50616f498e2f,0.7475624999999999,api,rust
oven-sh,bun,73d92c7518f547b5054a2bac4be6606f1e3bcc94,07cd45deae36d81e8a32796f351001a2a8157df1,0.7467500000000001,structural,javascript
pola-rs,polars,f0e14757fa41ad2eb32e4655bc9377d6f7035c69,0b3ea66f16d4b6bede107d407bef7b673e6e6d53,0.74675,basic,rust
trinodb,trino,743deea6b77cab5170d5f41832f6f4e3d8fc3430,a0ca6eae92a8a2a97eb11b1b90d1ec34064bf18c,0.7426875,api,java
ggerganov,llama.cpp,c05e8c9934f94fde49bc1bc9dc51eed282605150,afa8a9ec9b520137bbd1ca6838cda93ee39baf20,0.7386875000000002,api,c
liveblocks,liveblocks,e4820bd31faea6d8a417264774aa73d24a288ba7,023b5d962d90a4f8b2502a73ac3bbb97551fdb99,0.7386875,api,javascript
lima-vm,lima,91b96e6d554f9ee2d4817868b13fcd3f30ae8a16,22af4859f0b63284545f40d62b1a4d11da65e28b,0.7386875,structural,go
quarkusio,quarkus,3555cbcce42e65289706e86be7c7292ac6eeb5fe,98942f6dfc57e2d2831b338eb2767e1c73fd8e03,0.7372500000000001,api,java
pola-rs,polars,e829eb245308043190b09ec9a04462f99a1caae1,92134fb27f286abc3a77a6304701ec821b534982,0.7368125,dependency,rust
cilium,cilium,38871e3b97509513e082a1253eb25dec2a9721c2,c1ad9e7dda2ced1e6a6267b684b4913358e31cd8,0.7343124999999999,api,go
calcom,cal.com,1953402f81ccc0e4f2f2ac14bf51d8148fd625d4,e86ad03cde5c0e251f5743c3036cf7201b6beea9,0.7322500000000001,api,javascript
Graylog2,graylog2-server,d131aed7dc60debf349b86af10c3a96e9bfc0075,ce7863009d4c80f203289f2eb721956ed2448c66,0.7310625000000001,dependency,java
bentoml,BentoML,d0a47a363086712ed5a62a0e3c730dbc3215d4ea,17a160cd059141852b390795f8f39da40deeda93,0.7295625,api,python
n8n-io,n8n,662ac1bb5732cec7e22fbe109621d85b00a4a9ad,9c654dbbf770873d380096ec0f7df39e5ee7c567,0.72525,structural,javascript
golangci,golangci-lint,8c225c34db818afc0b424a41d69b7896fe0baf32,aec176a6a2827c993b59f601fc42c44bcaeda61e,0.7245625000000001,basic,go
apache,shenyu,1b245d325d3edb20bad33c3ae901eb46947b7183,bbd14bbda87a252639b840a89b8e736de3e9fa94,0.7236875,structural,java
n8n-io,n8n,cdcd0592484e479e2b1aee140d912b22c055ad5e,2bb190349bb6933cd0f80c08f25a445a4dd13509,0.716125,dependency,javascript
TrenchBroom,TrenchBroom,25f0bb6c1d27564c0206350111aa3f83cfe32f5d,f0b03250732d31c3637cb5773f04b5d7a184f79f,0.7157500000000001,structural,c
twentyhq,twenty,8334fe9528274da443712b92d1fe1448f8cd2a6b,6554947671ce4f91c9f271271791d85e66f5c990,0.7143750000000001,basic,javascript
rust-lang,rust,15f58c46da79399961a09db0c650a2f90f442e6b,f836ae4e663b6e8938096b8559e094d18361be55,0.710625,basic,rust
Qiskit,qiskit,70b1d649dfc19a752f714603a63a3e3c2a65f75e,22367fca2dfa7cc22d5b4167b74279697f838f96,0.7102500000000002,structural,rust
temporalio,temporal,5d1b702b635d17027258b7b900063b92c9c9467b,afd4ef8dae9468295061aee8aab59cc837bcac48,0.709125,api,go
chaos-mesh,chaos-mesh,04ef8d2cbd1041fe9d67c31c503c532d9178717c,266010dd54160b018046e4a4daf6c92254524406,0.7090625,dependency,javascript
hashicorp,terraform-provider-aws,80a3a4c9460563a1b549c9edbf625a050fe8875b,745e445b3065b68706bd79b845758a0f385a230e,0.7059375000000001,abstraction,go
web-infra-dev,rspack,ffc88cef4af6691efeac9060c96ee5be7dbd01e7,4c733667abae1ed0076c9e198bc33e77b09c823d,0.7058750000000001,api,rust
kumahq,kuma,07a178292d19a38b9ca389f4f466ef74c555e48a,ad7f6c6d6390d67f7bc010118e07b4c37de66396,0.7046875,api,go
speechbrain,speechbrain,e2696d983cf0d2cf8ead6830812687f78b5504f4,068a41bb64c921785a9b760f38c1daabd49ab1f3,0.7028125,structural,python
joernio,joern,d38fb0a285b1f38e9842fbc4c856614103e54105,54ac4775b5bc822c699a4ec870266d7e42a8931b,0.7013125,api,other
GreptimeTeam,greptimedb,a71b93dd84c10e967ea7eb82b289afd8c6e1aa8c,a56030e6a5011bcd34d1f6795ed14f10ee2945fd,0.7011875000000001,basic,rust
aquasecurity,tracee,8ee9221f1d2b99d8aa3d937fd5599d6a38af2374,7e9d5824ed13134fa1966520b2af7e7acdba2902,0.69675,structural,go
ziglang,zig,d83b95cbf4895027b1730ef6025df4fe01beba26,eb375525366ba51c3f626cf9b27d97fc81e2c938,0.6956875000000001,api,other
hrydgard,ppsspp,b9decb20a52612ce3dbdccebec26b95972212a1b,9ad42bcd99288a272a31f0148f63778966737e29,0.6943750000000001,api,c
n8n-io,n8n,97055d5714e89c4779e46c250e843b40e7c824c5,70b93f2f5328da9eee6d397ee868821f7a308456,0.6941875000000002,structural,javascript
conan-io,conan,f7e431f1bac9c52c60f782854e262165f75d5257,fc326dfe1fd264c6879c25e87e1f53db3b9a94d3,0.6926875000000002,structural,python
n8n-io,n8n,ecc4f41a113c772cc87726c1e61fafdc8941cc05,514825bd51a331cdda30eb799aba9764d3dfeb32,0.6911875000000001,api,javascript
payloadcms,payload,272914c8189281c6565c8780bea1a53af0a68272,a66f90ebb6ee206d77132bc41f9a37f904b62e42,0.6866875000000001,structural,javascript
excalidraw,excalidraw,debf2ad60817cad40e0cdd3d5a9a0262b40cfbdc,19135995942a671192a0182cbe30b580576a4f8a,0.68625,dependency,javascript
apache,kafka,14daa23b590304e0a224b24849a6eddac77b0973,a1f74573895734110f309755f0a75b95046f0704,0.684625,structural,java
PyO3,pyo3,27178e86848149e84fc7f5f31973d72f789942d8,bd1e7d22f4d8375a50891ee77e0d7faebb4ae885,0.6823124999999999,api,rust
gravitational,teleport,3704a8d274f6e110f2b06f773e13e91c7fe299df,9a965d005e31d5ccd05279a9f06c800da416161f,0.6815,architecture,go
PrestaShop,PrestaShop,7528980a080466c773266906650d646fd41a9c2b,e4e4b7ec9203a05f275b9b4e98d7047891595a6f,0.6760625,structural,javascript
rapidsai,cudf,5baa96b84657c01026c7c558bd55d13aacaa75e0,7fddc5ff47b79cc59dea97908b81e452da73cfb0,0.675625,structural,python
vespa-engine,vespa,d8eba3d70060b04b73b543fdbbcac67f10fb04b4,df4eeae78f7fab91417f0112a5197fd251fa0b73,0.6753125,api,c
n8n-io,n8n,c42df1c268ca28310b69175361faa61d179ee4af,e122b3f0f91a6f1381259d0b1f2f974cff1a622c,0.6741250000000001,structural,javascript
PrestaShop,PrestaShop,2a02d2fa63c1576de909a696ce60d0dc996fc829,fe115bd7c5f7b12d110e1b4541f256a7b6388b66,0.6735625000000001,structural,javascript
pola-rs,polars,ee338f7de52a6da5304a8319efda9b58115e0fac,2827c5ce4f2e028955d593e30d2a093f35d80a7a,0.6730625,structural,rust
vercel,ai,e90d45df7bf78227485af581cbea82bcd4ce64a5,8ecd6fef322398cb324a13670c56d0af0438b7b4,0.6713125,structural,javascript
elastic,beats,77cd2393e723daf5d935eb4d0da5323c152cd767,4350d4ee26db04c87c2bfdf119ba3c278c559f94,0.6685625,dependency,go
WerWolv,ImHex,35e8acd69db3d0fdd6dde570eed42f89aa887e5e,b646ece14b3a46f1dc9ed398077107caf5155781,0.664125,structural,c
n8n-io,n8n,a18822af0ee974bba783ca3c4b0def65fde04b15,6cf07200dc0f7a66e976fe82bc635ce52e62b0c1,0.664,structural,javascript
sktime,sktime,339ecf91ae545e9e8938c87e817f75b038addf3c,765224988bf51a82b0be21a3807e531fabd6558c,0.6637500000000001,structural,python
billchurch,webssh2,30ce0f408f342aac95d04b308ab25c635dbafed1,82f7fbea87c56108a8059de29369501b720ae3da,0.6623125000000001,structural,javascript
getsentry,sentry,27adebb02c0c57264fd0dde4f8fa7dd5d582e67a,1ee4c03eb0adc523c378b79b465bfb5927ee9c71,0.6619375000000001,structural,javascript
apache,pinot,631833a9967779c1debd8e0f2784d1700e0d7312,bc567a02b884b115d15351aada46305bf6df414c,0.6595625,api,java
zeldaret,oot,e8b708a4480e568f409c8e53986c2e96595b9405,28cc9d68cfe4a037eb232d5465b84a943539bca3,0.6573749999999999,api,c
twentyhq,twenty,66b633e08ebbc6fe79d406bd4f6eeac842b2bb5f,9eaa8ad517ed8c57f46b14ebc0435cbaba150267,0.656375,api,javascript
microsoft,semantic-kernel,95b6aa6f3ff948573b870e3a28ad04f6a8e5c993,b42389cd45db01fd1e3dcd8ef9bb7f6aab04d61c,0.655875,api,other
OpenRCT2,OpenRCT2,cf74af635bf639b7ff1ebd50b9c0b864a1fd466c,a380413c56e83339a60f50c2dcf5a4acfe5adb8f,0.6550625000000001,dependency,c
endless-sky,endless-sky,981893a519e6b280799c132621455b6225ccebfc,1912e0f4b193e7b169f59a75c08771699c337127,0.653125,api,c
n8n-io,n8n,069992524d3a45b0f10183379cc0168c67f661fb,52f27a76acac20fe5db14e6521323ff18fcca2f9,0.652375,structural,javascript
TanStack,router,3b0fe6ef9202a50f6cac092e3c632dee60ad3552,a3e0899e2de7f572762f280f941d5742b7160dc7,0.6506875000000001,structural,javascript
bevyengine,bevy,0e36abc180a2e0dcf4d9c33aac5f87ba699c46b0,a371ee3019348d35e2a4c6e14477c46802f8b1ca,0.6503750000000001,dependency,rust
highcharts,highcharts,ded96e47a5b9a49314843bf7c0ac24f7f42033ce,09f0d36fc2990c2f8239737a55e0a122969581d9,0.6495625,api,javascript
PrestaShop,PrestaShop,5a5fd342defba43e862983b5539b498cf6674c3d,b5a2920778d20abc2a606fcde20c10dbea3f9ac7,0.6485624999999999,api,javascript
endless-sky,endless-sky,54f2c777019696c6cc7b16c8ed4cc9da150a9cef,74e287cf972a0a4e8658e2113c7045fbc5020a17,0.648375,dependency,c
calcom,cal.com,34a80180ef3aab4d287d985e1f2c951077721b8a,7bf5d9cf640b16c41b1b5921693fa49807f32883,0.647,api,javascript
gradle,gradle,674b8430b024f03cae24f1e4dd6dbaa78b557dae,800924487105408d5ad5ce8923a59a0c3b1a05a5,0.6469375,api,java
AzuraCast,AzuraCast,5df8df4eddd2eeb3f0b66923d0783fa684d6f971,29add7874e55839b420f1c241010e1132df97994,0.6451250000000001,dependency,javascript
