owner,repo,commit_hash,golden_commit_hash,combined_score,category,language
chroma-core,chroma,9472830c73bdff09a947e02ef53c8656c0c36bd9,7dbc67ca2b6cdf881fcd8757ec3cc804e1b94451,0.8155625000000001,structural,rust
tuskyapp,Tusky,c1fe58c48c8875b0b886a03605cc5cab2a517910,dc4ca065517b5253bccd45c60fb6bcb7eb56c947,0.8014375000000001,dependency,java
zellij-org,zellij,a2ae82259c0352a6193ce052c49afc798551bf94,6be8c495bcbdc2aa4fd4d6528b213ca8b6189b34,0.797375,dependency,rust
rust-lang,rust,154d0962ee5b4b17d2c242d995777d550058207a,99e34b4f7a089dba1a80bb19298e76d4713af2a4,0.7951874999999999,api,rust
netty,netty,8271c8afccf7eb21bf6f994b5f3565f6d55bdee4,63a02fc04e6ce45aee38b0437ae0279880e5fe40,0.7931874999999999,structural,java
line,armeria,abe44775b0ed020dbd3a500f038dd76c951eb047,b04ccd24554f2fd223911096547bff5c6190e5c7,0.7897500000000001,api,java
apache,flink,9302b313fab8ffb4ee918d1b048585aa03cc4b35,ff3336266e5ea6c440916c1ae4ab9440e2ceb0bf,0.7860625,api,java
apache,arrow,e434536e82ef05430a31556c60d225e90f9382c5,df82d4cce52fab5c39b2667e587fa599506b5126,0.7826875000000001,dependency,c
prometheus,prometheus,380cacd3a4dbe7b9454aa68fe23b2b2961e758c5,ec94df49d45baa8e680d81e732294eb04fff00de,0.7744375000000001,structural,go
prisma,prisma,8405dd85d1a5cc2cfc296a1a94b0eaf482f843bd,afa248a4ef9543b68da568d1b4cb6f6c5dac91d8,0.7740625000000001,structural,javascript
n8n-io,n8n,1affebd85e959631b5ad37df145b368e38bba0b3,d6deceacde93e732f767d23d1feafdfb5accea20,0.7679375000000002,structural,javascript
containerd,nerdctl,00ad410418853bd1cff3642f0b56171fa546c907,d3072780b5c3e3979747f5fc5042ab4f99a2ca2e,0.7637499999999999,structural,go
flix,flix,fa1068c63d915e24614654dcca097e185b452ef0,fe6d927f60efd61a96dc32600c69f335295da646,0.7596875,structural,other
apple,swift-package-manager,f533e1b3d9f52378aceb4ed1d35dc20968238463,d5787ea534ead1cb9a770db03da7cc065df4751a,0.7563750000000001,basic,other
getsentry,sentry,ab2dc6187629dd5959525cc4b0e2029c49c60052,4fc1732e6e1d7c606c626ae1645a22e886ea977d,0.7555625,structural,python
go-gitea,gitea,3945c26722dececf2433107c47821238dae7e3c2,cf0df023be06c8acec4fc8fb05eab1d1c2e52fd1,0.7544375,dependency,go
rust-lang,rust,da140814682407ee326d36f5256bc883899a7388,94524020ea12f7947275063b65f8b7d705be073e,0.754125,api,rust
python,cpython,3ae67ba97e88d6f066a5b6f0c809f57fe4a1ecbe,a1aeec61c4321ba9a6966109343bd88dcf9cb26a,0.7538125000000001,structural,c
n8n-io,n8n,08a90d7e092b8331ebe1660d56a858edd9f49550,845f0f9d20ddebce61f7b21cad5db01cfa1cba21,0.7536875000000001,structural,javascript
Qiskit,qiskit,f367f9a2dcc6b6c451a1c9e9e9e1e40868ea0527,d0b2d79dbf7d40fcf94f24cfd9eb0ee9757574b6,0.7531875,structural,rust
rust-lang,rust,6a19a87097fbf430d0fe09e15d9266a990c1e0f6,2cce0885840cd171cb3a8677af795d0abd2dc77c,0.7524375000000001,api,rust
rust-lang,rust,5ced3dad5752cc9423a19e9a5aafad6e12ed3063,c1b336cb6b491b3be02cd821774f03af4992f413,0.7511875,api,rust
rust-lang,rust,14c54b637b18f74680d0c0441216714b5e9c150d,0d439f81815b7b2a13b6a30b9263f9a60d46a4d4,0.75,api,rust
bevyengine,bevy,775fae5b626ff316f620bb4022eb1104d8f0b8d7,7b1c9f192e0bde85d8b563d5f03e50616f498e2f,0.7475624999999999,api,rust
nhost,nhost,1a4a0612841d61377f78dedf517e8fc5f947fa71,211eb42af5ec6d1e1f078ee1a0fac584d03247aa,0.747,api,javascript
oven-sh,bun,73d92c7518f547b5054a2bac4be6606f1e3bcc94,07cd45deae36d81e8a32796f351001a2a8157df1,0.7467500000000001,structural,javascript
pola-rs,polars,f0e14757fa41ad2eb32e4655bc9377d6f7035c69,0b3ea66f16d4b6bede107d407bef7b673e6e6d53,0.74675,basic,rust
fabricjs,fabric.js,1d628e8c27c70ef65cbea369937d95109301f7cb,fb9b2b69ac4a245ed98e4663f18a2a4d95970db0,0.7465,api,javascript
netty,netty,f4fa5698c1ff391ea44a85f5136fa2c480e37f23,d2987071982a9f54c03a67cab780320cbf72763a,0.7460000000000001,api,java
mockito,mockito,2f7bf91d24a85ab28749e80effeb1252d8442ff9,9952454f4efc6a8734149b5e81e4f66c0349dcbb,0.7450000000000001,structural,java
rust-lang,rust,d371d17496f2ce3a56da76aa083f4ef157572c20,5a3e2a4e921097c8f2bf6ea7565f8abe878cdbd4,0.7436875000000001,structural,rust
gohugoio,hugo,0ada40591216572b0e4c6a8ab986b0aa4fb13c13,c71e1b106e6011d148cac899f83c4685dee33a22,0.7435,dependency,go
trinodb,trino,743deea6b77cab5170d5f41832f6f4e3d8fc3430,a0ca6eae92a8a2a97eb11b1b90d1ec34064bf18c,0.7426875,api,java
google,gvisor,fb9919881c7dc98eaf97cad2a70d187bd78f1566,8f4634997bd97810a85a70b71f000378d9db2e55,0.742625,structural,go
cilium,cilium,2db721189d74491a87a574572e55bef37c1d4dd4,927bd8c26904ff92e42c61cec6d00ea8ac062c05,0.7424375000000001,dependency,go
go-gitea,gitea,e03a91a48ef7fb716cc7c8bfb411ca8f332dcfe5,1bfb0a24d843e10d6d95c4319a84980485e584ed,0.74075,structural,go
saleor,saleor,1a830722eacf004e51258f9d5c823d05bbc2992c,b42ba5e626c93c99b816d43cec4444225581343b,0.7403124999999999,structural,python
moby,moby,a045f9e65d35632bc7200d24512eea3f952af743,d071d70ae1117dbf473fd5c5b6d50f68d56df8c6,0.739125,structural,go
ggerganov,llama.cpp,c05e8c9934f94fde49bc1bc9dc51eed282605150,afa8a9ec9b520137bbd1ca6838cda93ee39baf20,0.7386875000000002,api,c
liveblocks,liveblocks,e4820bd31faea6d8a417264774aa73d24a288ba7,023b5d962d90a4f8b2502a73ac3bbb97551fdb99,0.7386875,api,javascript
lima-vm,lima,91b96e6d554f9ee2d4817868b13fcd3f30ae8a16,22af4859f0b63284545f40d62b1a4d11da65e28b,0.7386875,structural,go
n8n-io,n8n,c461025f709600f7657617481598eb1d279136cf,885dba6f1210f7f7a49ea11b215bb0ec49711907,0.738,basic,javascript
ray-project,ray,588c573d418d78b730898dcd6314d61f0dd1389d,8414e413a27211dcb1efaef58f2094ca4d8f2e6c,0.7373750000000001,structural,java
quarkusio,quarkus,3555cbcce42e65289706e86be7c7292ac6eeb5fe,98942f6dfc57e2d2831b338eb2767e1c73fd8e03,0.7372500000000001,api,java
mongodb,mongo-go-driver,bf0e9bc29ed5a9f935f709ef0ee84011c5e7dda3,7355997933f8522a8a17379918b5cb91ff3674cc,0.7369375,structural,go
apache,airflow,c14d2ea0e0392a7cfef7d06b4b29ac1e1f47827a,773f52feb9f0dcd29161dc7ec41d5ddc7f69f445,0.736875,structural,python
pola-rs,polars,e829eb245308043190b09ec9a04462f99a1caae1,92134fb27f286abc3a77a6304701ec821b534982,0.7368125,dependency,rust
FuelLabs,fuels-ts,f0f7167455a2a6cffece4a7a9246c43ae599037f,daa915cfe165b42a846decb4bf0f069e09a7eb70,0.7364375000000001,structural,javascript
risingwavelabs,risingwave,8c1ecae1f587c9756a5482928a4f7e45d08f45a0,ead3e53d61b9c57a9fb0ef3d488b7af6801aeeb1,0.7364375,api,rust
rust-lang,rust,7c4a9a971ca6962533bed01ffbd0c1f6b5250abc,a64ef7d07d0411315be85a646586cb85eeb9c136,0.73475,config,rust
cilium,cilium,38871e3b97509513e082a1253eb25dec2a9721c2,c1ad9e7dda2ced1e6a6267b684b4913358e31cd8,0.7343124999999999,api,go
minio,minio,4cb6ebcfa27da497e22a626e61ac1829e12e596c,0cbebf0f573b975b66bf4f418b47a25c4c05d464,0.7342500000000001,structural,go
netty,netty,d14633b0d490fcc0153a886acced832f72a4b16e,e2aab650fefe3ea2f5c88c5f0b4f406e75319a85,0.7339375000000001,api,java
Automattic,wp-calypso,9334198bc5d28f5d95ec6b3e98070ee6538130aa,4265ac7786b2331f5c89656650f9b3bd7e3020a6,0.7328125,structural,javascript
ankidroid,Anki-Android,35cfd4de332fd575a7df38b7b97f44e8f90b831d,06e8ac2ef3e0d35fb3efc59aabb38c796b276b04,0.7323125,basic,java
tensorflow,tensorflow,56bbd227f69b9a5314b884f8ce128fa745d20c18,98a2d7d166c6ba19539e6d1fa57c47c4170ee77b,0.7323125,structural,python
calcom,cal.com,1953402f81ccc0e4f2f2ac14bf51d8148fd625d4,e86ad03cde5c0e251f5743c3036cf7201b6beea9,0.7322500000000001,api,javascript
pandas-dev,pandas,8b56ea30f185dfe9e05cbbd5e5be261388354ae8,f39a9ce580d25c8273cff717d13a7bc8601aa339,0.7322500000000001,api,python
golang,go,6105e8b4193401cf3344471924025c8a293c8e40,b0e238add5dc8ab80b4eade78ca047f074658dcd,0.7321250000000001,structural,go
jerryjliu,llama_index,39ff38293b5d4d1fc33d8fbadacf9bb57861ccbe,ec77e445e05e525df4511ce6a3082ec09b6c07ff,0.7311250000000001,api,python
Graylog2,graylog2-server,d131aed7dc60debf349b86af10c3a96e9bfc0075,ce7863009d4c80f203289f2eb721956ed2448c66,0.7310625000000001,dependency,java
bentoml,BentoML,d0a47a363086712ed5a62a0e3c730dbc3215d4ea,17a160cd059141852b390795f8f39da40deeda93,0.7295625,api,python
gopasspw,gopass,8dd21746f4a344bdea17dfae6b8af76de7d3f372,b11c3688d85c14fafe2f2987874d51bab2c7ff1c,0.7288125,api,go
usememos,memos,ca98367a0acd20f27888bed8f1410ac4528d3a03,5121e9f954313990e1d431b935161b37089ff1a0,0.7286874999999999,structural,go
golang,go,dac0de3748cc816352da56f516506f80c33db4a5,b9693d7627089204e6c2448f543c3512d86dae70,0.7286250000000001,structural,go
OpenRCT2,OpenRCT2,ca1118c2f1e39dc8382a23a199b4be48b123133e,81e068c7b2d08465125110693cb9e7c3ce4666af,0.7280625,dependency,c
apache,pinot,054dad1d8732021ffd4d0da44d3a6ab58aba752e,7c3dd06a9b0966551b84512af97259c6c5c35537,0.7270625000000001,api,java
ray-project,ray,f781622f8652c16bbd1845b9d05b121ae2cbafea,e4ceae19ef60f135a253fdd9f1270720bdbd96ec,0.7268125000000001,structural,python
OpenRCT2,OpenRCT2,724ab47a3726c0332cf720c769f72c5bc5f06e24,045d610391e721fc6b9d75005c493bbee6ca6f23,0.72675,structural,c
rust-lang,rust,87d348b3339e81151b93ac76c1c5a2f2c9c7455d,305508f9697745bd9143bf7f225d16435eedf715,0.7252500000000001,api,rust
n8n-io,n8n,662ac1bb5732cec7e22fbe109621d85b00a4a9ad,9c654dbbf770873d380096ec0f7df39e5ee7c567,0.72525,structural,javascript
spacedriveapp,spacedrive,f352a28dc883b20332138e5201580987119e181d,d4ad5c97f3b03c516bf0189f78e7aed203b71cad,0.7249375,api,javascript
golangci,golangci-lint,8c225c34db818afc0b424a41d69b7896fe0baf32,aec176a6a2827c993b59f601fc42c44bcaeda61e,0.7245625000000001,basic,go
saltstack,salt,78e46b3a68f709831a4b860bb0a455d2ae142474,877abb89d03d5caaf53fb0ee5ab2bf1cce2e8f17,0.7241875000000002,structural,python
microsoft,FluidFramework,17e452627eaa6edb7ee3b21056faca2a4b9674d7,2eadd00924faae5a9b4089dba3775b373a4d66d4,0.7237500000000001,api,javascript
apache,shenyu,1b245d325d3edb20bad33c3ae901eb46947b7183,bbd14bbda87a252639b840a89b8e736de3e9fa94,0.7236875,structural,java
go-gitea,gitea,93bd4351bfb4a2f5f37ecb80d50496d044240e00,7047df36d4c39fefa6464b713c66302aa0038123,0.7235625000000001,dependency,go
hashicorp,terraform-provider-aws,1f8c772131b2547193d2217217a8a175ac4d5660,aa0969c467579567aebb90b40fcc61939511f3de,0.7210000000000001,architecture,go
envoyproxy,envoy,38c5c867ab92c60bb0fc32bde0f6565516ba0ff4,415caf6cfd609cee5a7f24cda577609b3e32b98c,0.7204375000000001,dependency,c
denoland,deno,1cd36009b0f5eeae0eb337415b35f7a27702bd2f,4638caa74044cf5100f515b49c3a86522f013fc9,0.7199375000000001,dependency,rust
microsoft,vscode,c3c6a33390ba492934a72a69c552927af1820e11,66335ab57fc6cbc954f0916796effccd4f4c57ac,0.71925,api,javascript
rust-lang,rust,a6e87c546dd806b2f8eb7bb314defc56dc190e4d,98dabb622ad758f681ebbee1f4f797cd17de30c4,0.7191875000000001,api,rust
remarkablemark,html-react-parser,1fcb059b01d3a3d83c1422cdb30ca7ee25c5f349,4255a104125c396b2320b40a2d3ccbe448698878,0.71825,config,javascript
smartcontractkit,chainlink,b0e382f9f065a583a6a8963e864d2a6ee61260b4,6604c3f3a8dcc49a32d0fb43887b4f5850c90adf,0.717875,structural,go
pnpm,pnpm,7f90e63b958513dff04bcaecefc1724b7c7b3e21,0e4a0948f0e116c7147c14c724443da478b0b1c2,0.7167500000000001,abstraction,javascript
mlc-ai,mlc-llm,27d1f6fbf972a0c874c63eacbd75f66075ac5739,f2c15822ccd03bc12124dd311b679c6f7e65a641,0.7165625000000001,structural,python
n8n-io,n8n,cdcd0592484e479e2b1aee140d912b22c055ad5e,2bb190349bb6933cd0f80c08f25a445a4dd13509,0.716125,dependency,javascript
TrenchBroom,TrenchBroom,25f0bb6c1d27564c0206350111aa3f83cfe32f5d,f0b03250732d31c3637cb5773f04b5d7a184f79f,0.7157500000000001,structural,c
twosigma,beakerx,919490cc92551b48051fc1ae1d5828d82a09307d,c497669acc2184ea18050dab3a843809b5e40983,0.7146875,structural,javascript
twentyhq,twenty,8334fe9528274da443712b92d1fe1448f8cd2a6b,6554947671ce4f91c9f271271791d85e66f5c990,0.7143750000000001,basic,javascript
dolthub,dolt,4e5febf8b166d0d3c3cc5629cc9646d180c25918,3419237719da4403ff5a63abb37cc2a975c7fd05,0.7140625,structural,go
DataDog,datadog-agent,c6fb65c4ab6ed8187f1cfbac5a98c094ae785713,0a7dafd895ca97b822e4a0a0896406430947274e,0.7134375000000001,structural,go
PRQL,prql,92bda3d7190c22f8ef1bacbf2f65aef50c6c1c60,79d00b7e1f0af338b4ceae59c86f7b50e74e97f2,0.7129375,structural,rust
OpenRCT2,OpenRCT2,d3c649c9bf19a219b551db71a007007a5fc5ea61,30fa3128a65b5a045ed07ae36b9596ced70d58f3,0.71225,basic,c
strapi,strapi,a0124820c65728a95e0446641928734db63df080,ef93b178ac53a1142a3ea0b8de347117c1f239af,0.711125,api,javascript
apache,shardingsphere,62a5860eecc2f08637c3ced341c5e0154cf7657b,90457302c527dc7a6b5bd0bf991b7cae8fefb91d,0.7106875000000001,basic,java
rust-lang,rust,15f58c46da79399961a09db0c650a2f90f442e6b,f836ae4e663b6e8938096b8559e094d18361be55,0.710625,basic,rust
immich-app,immich,92cc647cf6e3b0927146b6ee034a111a623fa3c6,81f0265095779a5bb4ba8bea53893aea9a2552af,0.7105000000000001,structural,javascript
Qiskit,qiskit,70b1d649dfc19a752f714603a63a3e3c2a65f75e,22367fca2dfa7cc22d5b4167b74279697f838f96,0.7102500000000002,structural,rust
vitessio,vitess,9ceee29a6500b1e37eed529ff2d393effef4a076,29f8036ee6dd98612d5fc998c40e3902539a08ef,0.7101875000000001,api,go
nanocurrency,nano-node,3e0ff0471fc92b178b333d5640456de0e23f7e91,ea7713aaca3bc604ef3aa9c65f91ff1130a9ab9b,0.7092500000000002,structural,c
temporalio,temporal,5d1b702b635d17027258b7b900063b92c9c9467b,afd4ef8dae9468295061aee8aab59cc837bcac48,0.709125,api,go
web-infra-dev,modern.js,85e41ffc09eb3810c2729fdedcecb87e1313f6ba,b957e1c49ce3c33559596cbb8ad363bea6ff600a,0.7090625000000002,api,javascript
chaos-mesh,chaos-mesh,04ef8d2cbd1041fe9d67c31c503c532d9178717c,266010dd54160b018046e4a4daf6c92254524406,0.7090625,dependency,javascript
MystenLabs,sui,2cc826d392a962c4fec25406f28bf1837af0e097,3b00f5de24279a422971a7853ed8199e14ce5ae5,0.7089375,structural,rust
docker,cli,c6f96cb8b40f2f78fef78b23675623df11f8d9d6,c648e163ebbe3bc5bf9b10b9390e41c0785a409b,0.7089375,dependency,go
go-gitea,gitea,2b02343e218755c36c6a45da8a53c06dfff843a1,c53ad052d8bd040ecd269d9757ce9885396a04af,0.708875,structural,go
darkreader,darkreader,3e1fbe39857a392a7fb358ff481c66d3762ad86f,ebeb32634f4625445ff828cec6d7c859a748dacf,0.7088125000000001,config,javascript
huggingface,transformers,5e1fd4e204d81f2f66f8c164433e62ea5f4d0467,893ad04fad145904ccb71e4e858e4134c32226b6,0.7085625,abstraction,python
telepresenceio,telepresence,4cbeb3704dbb4a04dedf23831c52e5f707b0a51a,63614030c7feb447a1147ca72e75167586fb055d,0.7069375,structural,go
protocolbuffers,protobuf,8dedafc5750fd8de95a8d5e503cd5c4386643a22,41149253acf6610815be1298a86cb021eb223805,0.7061250000000001,structural,c
hashicorp,terraform-provider-aws,80a3a4c9460563a1b549c9edbf625a050fe8875b,745e445b3065b68706bd79b845758a0f385a230e,0.7059375000000001,abstraction,go
web-infra-dev,rspack,ffc88cef4af6691efeac9060c96ee5be7dbd01e7,4c733667abae1ed0076c9e198bc33e77b09c823d,0.7058750000000001,api,rust
treeverse,lakeFS,965b8b1c33157afdcaab24dced56e4b5122d118a,82c4960efeacee00c2be411bb775ecaf5477f249,0.7055,api,go
kumahq,kuma,07a178292d19a38b9ca389f4f466ef74c555e48a,ad7f6c6d6390d67f7bc010118e07b4c37de66396,0.7046875,api,go
apache,hadoop,b837bbb7d5ca53d8ec5b8024a963dcf4e981f2e2,2a9e430ff9327ad311db7954400ff664ae66ec45,0.704,api,java
google,nomulus,16758879f00b3e0a1e027c3c0ac955e5a3aada58,a341058282cb605c4bab688c65a2a1c0dca58ce2,0.7039375,structural,java
zeldaret,oot,a30f130eb9e48d55d8d7c935fb708af1156fee42,88c447596742f39cdd6e604b162b8ace16c7f720,0.7038125,api,c
lettuce-io,lettuce-core,9115222c1496e005c1042743791d34a2e49e057d,418bc1d3993a998f7fad66d5007aa1311594b997,0.703,abstraction,java
speechbrain,speechbrain,e2696d983cf0d2cf8ead6830812687f78b5504f4,068a41bb64c921785a9b760f38c1daabd49ab1f3,0.7028125,structural,python
tensorflow,tfjs-models,250b679bace46bdc884a9474a1c3d1fc3bc28002,c6bcde9db1c0438ff5f651759bc606766d593fbd,0.70275,structural,javascript
tektoncd,pipeline,e115fb61975141f0d3aef44df87861fac0446352,ff4cf7ac7860655a86217d44d8dbc4131b76556d,0.7021875,api,go
nsqio,nsq,d9193b673b368af5d85a77860ca7555fb168de77,e010e1d2c019070b77fa6127471ddef88d37104d,0.7013125000000001,structural,go
joernio,joern,d38fb0a285b1f38e9842fbc4c856614103e54105,54ac4775b5bc822c699a4ec870266d7e42a8931b,0.7013125,api,other
GreptimeTeam,greptimedb,a71b93dd84c10e967ea7eb82b289afd8c6e1aa8c,a56030e6a5011bcd34d1f6795ed14f10ee2945fd,0.7011875000000001,basic,rust
istio,istio,348b190f97b3629dab7dcaf15563e70bd10ad0f3,89205baf999ccee1275bfccf0124bc51ec7703b2,0.7008125000000001,dependency,go
mlc-ai,web-llm,f6ef70a9ec526a9ce19e88b0797482609843cc06,489d882c80bd9187f1aacdd9b5a46e7546ea32e5,0.6995000000000001,api,javascript
syncthing,syncthing,f6f696c6c51d0a5d27e548b814f6efb6e5af5e8d,b1c74860e8204e601dc83d0a9fbe0b011d9728f4,0.6993125000000001,dependency,go
zulip,zulip,76d6c715952966aac23588c5393986e21c99a989,e168f9938c4f372323244a2abaadf23f991e8819,0.698625,abstraction,python
facebook,react,238b57f0f712aeddc89604b0dc9c1b13ffb0129a,7a1691cdff209249b49a4472ba87b542980a5f71,0.698125,structural,javascript
autokey,autokey,9309c4fe9c7410546eb83c4ba912075f6dc3b092,85b948e7cd0f10f0e2918aad99014d8b848fbe6f,0.698,structural,python
emilk,egui,eee4cf6a824e21141bb893aae2aea7849c0e9e03,8ce0e1c5206780e76234842b94ceb0edf5bb8b75,0.6975625000000001,api,rust
go-gitea,gitea,e61b390d545919244141b699b28e3fbc42adc66f,de8e3948a5e38f7eaf82d3c0cfd10e995bf68e92,0.6974375,structural,go
