owner,repo,commit_hash,golden_commit_hash,combined_score,category,language
DataDog,datadog-agent,71ac8ec8368cceccee531444d8b0b42e7c132881,fdca9fee7bff716fe5fd4c2d9a6569a614a552b4,0.66075,dependency,go
numpy,numpy,ccff7fb327ed47db2dc94e2015572d4c75ccc9fd,64ee06a641f8bd087bd74712ef4b1cbd1241f08c,0.654875,basic,c
antvis,G6,712ca23e35a1e350417e6a7f63f10d0cc1a5915a,8436aaa9a8aad02eb33c6be8c6dcd0dabb7a1867,0.6523125,api,javascript
apache,shardingsphere,e9f622b82de3e20a2d0fe74c87bd67e604e36140,822dd333a0c457d8e89cf2be473baf64f92743eb,0.651125,structural,java
keycloak,keycloak,808926b63e5db4a0e05f62dcb3738bd45e81d9fb,0be34d64e71cd80f6a72382b63ec454adaac5dc4,0.633625,structural,java
vitessio,vitess,42afc728fe34a63037fb4bedfe0b1ac00bef12dd,ca4246d938129a29059cccc8ccc886d7c3bfb84b,0.6759375,api,go
99designs,gqlgen,d5c9f896419142f6378639b6eec93584fbf829ed,a9965fbd85f0f5aff1aebf2652d40fcd1ce6eb4f,0.655,basic,go
aws,aws-cli,20315462da63ffdf5615f0bb20579da824674314,1e252cf77aa84541102db2acdac03a98bd69005d,0.6450625,dependency,python
ethereum,go-ethereum,3c30de219f92120248b7b7aeeb2bef82305e9627,95741b18448aaacacd0edd8f73a9364bd3df8c92,0.6345,structural,go
getsentry,sentry,ab2dc6187629dd5959525cc4b0e2029c49c60052,4fc1732e6e1d7c606c626ae1645a22e886ea977d,0.7555625,structural,python
risingwavelabs,risingwave,8c1ecae1f587c9756a5482928a4f7e45d08f45a0,ead3e53d61b9c57a9fb0ef3d488b7af6801aeeb1,0.7364375,api,rust
envoyproxy,envoy,38c5c867ab92c60bb0fc32bde0f6565516ba0ff4,415caf6cfd609cee5a7f24cda577609b3e32b98c,0.7204375,dependency,c
rust-lang,rust,a6e87c546dd806b2f8eb7bb314defc56dc190e4d,98dabb622ad758f681ebbee1f4f797cd17de30c4,0.7191875,api,rust
ruffle-rs,ruffle,6203f99dd7b59b5f0f70fdbfbb9665abbae46091,b0443b3b5f2681b91b487d1b3987ad6f3b9a4517,0.6969375,api,rust
monkeytypegame,monkeytype,0b854af30e3518cc4894649d890603ecd5d5ecd1,1509a675b85aa407eb04118e37743cd165b9a474,0.691875,structural,javascript
aws,aws-cli,d3ac781e81c0f57c8ebb0f952cfc62318308794a,1094c8676d8c5a36b61212969e3f11f70007953f,0.6895,api,python
wader,fq,48351028c5b286b67bbbe4cb94007d55efd5896a,c5e84236df12b9292264933aa0c3b940d095276f,0.679625,api,go
toeverything,AFFiNE,0dabb08217b4390c25aaa728a589d1855f0a8211,ad9b0303c4ce7ab9acdcaf686aeb35dabec27578,0.678,api,javascript
tuskyapp,Tusky,c1fe58c48c8875b0b886a03605cc5cab2a517910,dc4ca065517b5253bccd45c60fb6bcb7eb56c947,0.8014375,dependency,java
rust-lang,rust,5ced3dad5752cc9423a19e9a5aafad6e12ed3063,c1b336cb6b491b3be02cd821774f03af4992f413,0.7511875,api,rust
rust-lang,rust,d371d17496f2ce3a56da76aa083f4ef157572c20,5a3e2a4e921097c8f2bf6ea7565f8abe878cdbd4,0.7436875,structural,rust
netty,netty,d14633b0d490fcc0153a886acced832f72a4b16e,e2aab650fefe3ea2f5c88c5f0b4f406e75319a85,0.7339375,api,java
mlc-ai,mlc-llm,27d1f6fbf972a0c874c63eacbd75f66075ac5739,f2c15822ccd03bc12124dd311b679c6f7e65a641,0.7165625,structural,python
apache,shardingsphere,62a5860eecc2f08637c3ced341c5e0154cf7657b,90457302c527dc7a6b5bd0bf991b7cae8fefb91d,0.7106875,basic,java
immich-app,immich,92cc647cf6e3b0927146b6ee034a111a623fa3c6,81f0265095779a5bb4ba8bea53893aea9a2552af,0.7105,structural,javascript
huggingface,transformers,5e1fd4e204d81f2f66f8c164433e62ea5f4d0467,893ad04fad145904ccb71e4e858e4134c32226b6,0.7085625,abstraction,python
zeldaret,oot,a30f130eb9e48d55d8d7c935fb708af1156fee42,88c447596742f39cdd6e604b162b8ace16c7f720,0.7038125,api,c
getsentry,sentry,74b3b5b626ae661936e628c274ada2eb9838828a,9894a930b63e892a574d3c26c7794af6b2215d6c,0.6764375,structural,python
rust-lang,rust,08cdc2fa1a9fd5ba466838f69cfaf062a3a64ad1,f00f85091904530ee8f5b29251c53571e0062a76,0.6698125,structural,rust
getsentry,sentry,a741388c40ecf36ede2f8c2e6077a8cbc55dc6b0,83bc355e4f2ff1f2c5301c829a2a9cdc020e7cec,0.6685,structural,python
bevyengine,bevy,745e27ca229d09bd243e8d3b91e85b0024a46932,40640fdf42be1cf13eb651bd6816d742c369241a,0.666375,structural,rust
gravitational,teleport,ecfa26a68e143880f0af18651362d7146d3cabab,00c9dd4658131749a86114e0717349e526edfefb,0.665625,api,go
toeverything,blocksuite,de8382587e5fd9ce567ac5cb0ecf071bb1b06d1e,440be962a4702a8b8431359b588a33fbd65bdf17,0.660625,structural,javascript
bevyengine,bevy,0d172b29148a41940903c2ca4367e6e4b8c4ad18,5619bd09d1668dc3b0f14833bb1c3d7cffa9f9ef,0.6605,dependency,rust
apache,hbase,cac58baf12cbf294baa591b2b4a8eda88b06a1e2,84f4fb3b4210f9d7d50533eed5471bbab381d8c9,0.6598125,structural,java
bytebase,bytebase,04ac644e7b0d3a1a92b0aee1a4f935dbf0dcf872,dd7030c8dac6bfcb91d74c6f483b138b44ff939d,0.657375,api,javascript
pulumi,pulumi,a05c188edc3f2acd712657920be3571d1372e672,afb287d2fb305531d63c18378efacedf44c9dcfc,0.654,api,go
apache,incubator-pegasus,25a32ff5accf57ee055b931ed2154825d5f0ac9b,9daece425c8550dd046a297d93ada14935d85d9c,0.6525625,structural,c
icsharpcode,ILSpy,e96605ca8721c096b9540d0d155f50657c4e54fc,1134313515d9c4ad908eb024942e740b591aaac5,0.63075,dependency,other
loft-sh,vcluster,dffcd550e3760de2a1b6a289bd7e817c15445041,ff981ca1b4a4cda15515373426490a8c537b07a0,0.6299375,api,go
emilk,egui,eee4cf6a824e21141bb893aae2aea7849c0e9e03,8ce0e1c5206780e76234842b94ceb0edf5bb8b75,0.6975625,api,rust
apache,arrow-datafusion,2cd170611547c0bb9e0c1788c40f3f006a7d1ec7,c9330bc09e583734aed721a208a0684118b170f1,0.643375,api,rust
opensearch-project,OpenSearch,011ff6353237fd3c23a5be1487dff67e8374a84d,963bbe0862f9be5e56617430d1ae38c676855089,0.6375,dependency,java
kubevirt,kubevirt,d425593ae392111dab80403ef0cde82625e37653,2ce34a309fcb0c3480739c94dee24dd44f8797a7,0.6643125,abstraction,go
spacedriveapp,spacedrive,f352a28dc883b20332138e5201580987119e181d,d4ad5c97f3b03c516bf0189f78e7aed203b71cad,0.7249375,api,javascript
pyvista,pyvista,49cc9ece25b528b65a2c5fdcbf35886d817f5d09,bb026418509f22a09817237075bb0ebfb5de8e77,0.685625,structural,python
deepset-ai,haystack,c51aa1ee8d853ac48e02bd1c0f1bc21be3a6bf78,7287657f0e2e498417674885656ec4b426067209,0.6583125,api,python
clientIO,joint,a68365ded3424eb5e78e6ecd756c8f4a555d98a4,15a73d146e4886bca1a07fd03772eda95e4f5b60,0.6496875,dependency,javascript
rust-lang,rust,bacf5bcbc7dae526872cf6af3fc0064a51b1efa2,5767cad9b8b58a5c0521c5ddd652a24d0c65f466,0.6444375,api,rust
bevyengine,bevy,72b4aacf86008a8851b30e35cb6adc58976a37ff,f18f28874a683812dc5b8d54743b1826399897d9,0.6379375,api,rust
cosmos,cosmos-sdk,a4d4d30d016bd288218c8cb106d56ef51cc516ce,c8228365011d78ebbd26e6142068d342c7e61ade,0.635625,api,go
hashicorp,terraform-provider-aws,1f8c772131b2547193d2217217a8a175ac4d5660,aa0969c467579567aebb90b40fcc61939511f3de,0.721,architecture,go
go-gitea,gitea,2b02343e218755c36c6a45da8a53c06dfff843a1,c53ad052d8bd040ecd269d9757ce9885396a04af,0.708875,structural,go
rust-lang,rust,5937ec1915c09f6891825f393bc6d0e592a1d511,85c38454c0044d727e68cc123ff93376da62abfc,0.6970625,structural,rust
cosmos,cosmos-sdk,bc0386e9964a9bea0934d2914b160cc4bc5af3b8,8dbdfea9ef705aeb96d20fa3959548fdc22eca6c,0.692,api,go
autogluon,autogluon,164caba9235b223824415445ef864074fe30c008,ee55a343b5619cf90e8541bdb76a1b3d26fda53f,0.682875,structural,python
aquasecurity,trivy,aaf845d02e705f91e38d9326f50e9fee8dd49932,e1076085d937c7ad5962332268039fc8b5317ee3,0.672375,api,go
envoyproxy,envoy,93c26ebe938e261c3fd4e15f67f28a5a1c008075,148fd48bb086742f1878877fde2b2fa55d7b58ad,0.642125,api,c
hashicorp,consul,24c431270c68f2e66d4b9e4a5c4ff82fa5b4997f,b8b37c2357aabcecd81d8f49bf8680c54de366aa,0.637875,structural,go
go-gitea,gitea,3945c26722dececf2433107c47821238dae7e3c2,cf0df023be06c8acec4fc8fb05eab1d1c2e52fd1,0.7544375,dependency,go
n8n-io,n8n,08a90d7e092b8331ebe1660d56a858edd9f49550,845f0f9d20ddebce61f7b21cad5db01cfa1cba21,0.7536875,structural,javascript
nhost,nhost,1a4a0612841d61377f78dedf517e8fc5f947fa71,211eb42af5ec6d1e1f078ee1a0fac584d03247aa,0.747,api,javascript
fabricjs,fabric.js,1d628e8c27c70ef65cbea369937d95109301f7cb,fb9b2b69ac4a245ed98e4663f18a2a4d95970db0,0.7465,api,javascript
saleor,saleor,1a830722eacf004e51258f9d5c823d05bbc2992c,b42ba5e626c93c99b816d43cec4444225581343b,0.7403125,structural,python
mongodb,mongo-go-driver,bf0e9bc29ed5a9f935f709ef0ee84011c5e7dda3,7355997933f8522a8a17379918b5cb91ff3674cc,0.7369375,structural,go
jerryjliu,llama_index,39ff38293b5d4d1fc33d8fbadacf9bb57861ccbe,ec77e445e05e525df4511ce6a3082ec09b6c07ff,0.731125,api,python
microsoft,FluidFramework,17e452627eaa6edb7ee3b21056faca2a4b9674d7,2eadd00924faae5a9b4089dba3775b373a4d66d4,0.72375,api,javascript
remarkablemark,html-react-parser,1fcb059b01d3a3d83c1422cdb30ca7ee25c5f349,4255a104125c396b2320b40a2d3ccbe448698878,0.71825,config,javascript
PRQL,prql,92bda3d7190c22f8ef1bacbf2f65aef50c6c1c60,79d00b7e1f0af338b4ceae59c86f7b50e74e97f2,0.7129375,structural,rust
strapi,strapi,a0124820c65728a95e0446641928734db63df080,ef93b178ac53a1142a3ea0b8de347117c1f239af,0.711125,api,javascript
nanocurrency,nano-node,3e0ff0471fc92b178b333d5640456de0e23f7e91,ea7713aaca3bc604ef3aa9c65f91ff1130a9ab9b,0.70925,structural,c
mne-tools,mne-python,4af14f493e28b0f28611ba62d971c1319577fa72,b33f3a83898823149e306901d94fd8de643ee4e2,0.696125,structural,python
web-infra-dev,modern.js,578f94f4ec5a6e877487ac847cf7b9231a2d5511,6a1d46eb50ce7f629eb6b5794d1f4a03f06d7ace,0.67875,structural,javascript
go-gitea,gitea,6221a6fd5450692ae27e5602b41fc9ebd9150736,d32af84a1002ceb235c86e4ac569c866ab7816d4,0.6735625,api,javascript
MystenLabs,sui,3ae0f88a1b0b09efe1e1a4aa81a88a13c582ef3e,0a7b42a6d85061ba5c1837bb508ab6b0f9115e20,0.6735,api,rust
elastic,eui,b2893e2ca3cf6f0c04872da6959ed02c9e9ecd74,1b82dd83f5ab89d5e20aa2d9cae091355dd6bbaa,0.6674375,basic,javascript
go-gitea,gitea,a1b2a118123e0abd1d4737f4a6c0cf56d15eff57,f91dbbba98c841f11d99be998ed5dd98122a457c,0.662,api,go
GreptimeTeam,greptimedb,16be56a7438fd08175601c4c7ec2d9ff5a848860,9ff7670adfb56a80fe6ffeab8bdab9bcfe55543c,0.66125,dependency,rust
tldraw,tldraw,3ce18c0c317ad4b7572b0e2c03d8f6b2c947e961,649125cdad88bd75bd5c489ad113255d57a620f9,0.6580625,api,javascript
burn-rs,burn,e2a3329997fbe37bf80b343c9237d137c6ca4196,96524d40a1cffc8c13394f70775ce53d5a1abd3b,0.64475,api,rust
chroma-core,chroma,9472830c73bdff09a947e02ef53c8656c0c36bd9,7dbc67ca2b6cdf881fcd8757ec3cc804e1b94451,0.8155625,structural,rust
netty,netty,8271c8afccf7eb21bf6f994b5f3565f6d55bdee4,63a02fc04e6ce45aee38b0437ae0279880e5fe40,0.7931875,structural,java
apache,flink,9302b313fab8ffb4ee918d1b048585aa03cc4b35,ff3336266e5ea6c440916c1ae4ab9440e2ceb0bf,0.7860625,api,java
netty,netty,f4fa5698c1ff391ea44a85f5136fa2c480e37f23,d2987071982a9f54c03a67cab780320cbf72763a,0.746,api,java
